OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,23,משמר הנגב,395,מועצה אזורית,דרום,בני שמעון,5541,1,9,35,0,8,33,4,45,42,0,5,0,24,36,2.783739927416595,8.262266087962026,202405,11954.959667696441102,8262266.087962024845183
-1,39,נבטים,396,מועצה אזורית,דרום,בני שמעון,5541,1,3,65,2,18,46,5,69,61,0,1,0,38,52,5.056408256566187,7.712984794958971,202405,13723.301079045162624,7712984.794958971440792
-1,20,שובל,394,מועצה אזורית,דרום,בני שמעון,5541,2,2,34,0,10,26,2,38,37,1,3,0,20,32,2.920358771127918,6.848473618286114,202405,12904.094498788426790,6848473.618286114186049
-1,5,שומריה,1265,מועצה אזורית,דרום,בני שמעון,5541,0,1,16,0,6,10,1,17,10,0,0,1,7,8,0.744911976,6.712202460352219,202405,11639.727305740630982,6712202.460352218709886
-1,1293,שטח כללי,5541,מועצה אזורית,דרום,בני שמעון,5541,28,101,2059,15,296,1718,126,2188,2515,36,134,4,1408,1944,4.388743101086882,294.617381381878033,202405,310074.977403973985929,294617381.381878018379211
-1,0,תאשור,2062,מועצה אזורית,דרום,בני שמעון,5541,,,,,,,,,,,,,,,0,2.827947231218246,202405,7594.128311211075925,2827947.231218245811760
-1,45,תדהר,2061,מועצה אזורית,דרום,בני שמעון,5541,1,9,82,2,19,67,6,92,81,2,4,0,43,62,11.838361710069400,3.801201644457626,202405,10330.916025265270946,3801201.644457626156509
-1,384,בנימינה - גבעת עדה,9800,מועצה מקומית,חיפה,בנימינה - גבעת עדה,9800,1,20,540,29,96,422,42,561,722,28,19,18,449,585,15.739774549430587,24.396791630912645,202405,33370.878197365396773,24396791.630912646651268
-1,172,"בסמ""""ה",1326,מועצה מקומית,חיפה,"בסמ""""ה",1326,0,7,269,42,60,188,24,276,264,3,4,3,149,212,30.695192786865078,5.603483294413492,202405,21808.036380418852787,5603483.294413492083549
-1,62,בסמת טבעון,944,מועצה מקומית,צפון,בסמת טבעון,0944,0,2,92,9,24,66,3,94,98,4,2,2,60,79,15.777479076439674,3.929651860073380,202405,16616.546986746099719,3929651.860073380172253
-1,210,בענה,483,מועצה מקומית,צפון,בענה,0483,2,4,411,22,101,295,17,417,384,6,7,1,244,300,60.720304581322800,3.458480675418001,202405,9921.238983698700395,3458480.675418000668287
-1,81,בית אלעזרי,562,מועצה אזורית,מרכז,ברנר,5528,3,4,110,1,9,89,17,117,161,6,6,2,93,131,7.409083366690996,10.932526466654643,202405,15083.377600768308184,10932526.466654643416405
-1,4,בניה,685,מועצה אזורית,מרכז,ברנר,5528,0,0,4,0,0,2,1,4,7,0,0,0,7,7,1.216224173968392,3.288867369695904,202405,8300.997748520658206,3288867.369695903733373
-1,78,גבעת ברנר,147,מועצה אזורית,מרכז,ברנר,5528,0,5,89,3,10,70,13,94,146,9,4,5,95,125,6.202900393319286,12.574762619759039,202405,21240.146773187640065,12574762.619759038090706
-1,0,גיבתון,196,מועצה אזורית,מרכז,ברנר,5528,,,,,,,,,,,,,,,0,0.345913395,202405,3473.066353278362385,345913.394986637693364
-1,68,גן שלמה,144,מועצה אזורית,מרכז,ברנר,5528,0,4,99,1,19,70,10,103,135,5,2,3,95,118,19.458213763991754,3.494668155297834,202405,12146.087830613912956,3494668.155297834426165
-1,10,קדרון,615,מועצה אזורית,מרכז,ברנר,5528,0,0,12,0,2,9,0,12,19,1,1,1,11,19,1.591901009301111,6.281797637901041,202405,14602.518922084565929,6281797.637901040725410
-1,3256,בת ים,6200,עירייה,תל אביב,בת ים,6200,16,136,3577,648,450,2390,694,3729,5398,611,87,196,2346,4255,345.989471166256294,9.410690993066126,202405,15594.554674326442182,9410690.993066126480699
-1,1028,ג'דיידה - מכר,1292,מועצה מקומית,צפון,ג'דיידה - מכר,1292,4,15,2136,38,499,1576,74,2155,1940,37,38,23,1221,1517,113.056852494535960,9.092770383375774,202405,17953.251761311476002,9092770.383375773206353
-1,129,ג'וליס,485,מועצה מקומית,צפון,ג'וליס,0485,1,2,201,7,44,151,6,204,210,9,2,6,134,171,32.266268318501162,3.997983241403614,202405,11448.090721651717104,3997983.241403613705188
